Name,ADP,Position ADP
Jahmyr Gibbs,1,RB1
Bijan Robinson,2,RB2
Ja'Marr Chase,3,WR2
Puka Nacua,4,WR1
Christian McCaffrey,5,RB3
Jaxon Smith-Njigba,6,WR3
Jonathan Taylor,7,RB4
Amon-Ra St. Brown,8,WR4
CeeDee Lamb,9,WR5
Justin Jefferson,10,WR6
De'Von Achane,11,RB9
James Cook,12,RB6
Drake London,13,WR7
Ashton Jeanty,14,RB5
Saquon Barkley,15,RB7
Trey McBride,16,TE2
Omarion Hampton,17,RB11
Chase Brown,18,RB10
A.J. Brown,19,WR8
Jeremiyah Love,20,RB13
Brock Bowers,21,TE1
Rashee Rice,22,WR10
Kenneth Walker III,23,RB8
George Pickens,24,WR11
Derrick Henry,25,RB12
Nico Collins,26,WR9
Chris Olave,27,WR14
Malik Nabers,28,WR12
Josh Jacobs,29,RB14
Josh Allen,30,QB1
Kyren Williams,31,RB18
Breece Hall,32,RB15
Bucky Irving,33,RB22
Tee Higgins,34,WR16
Travis Etienne,35,RB17
Tetairoa McMillan,36,WR22
Lamar Jackson,37,QB2
Javonte Williams,38,RB16
Garrett Wilson,39,WR17
Luther Burden III,40,WR21
Colston Loveland,41,TE3
Ladd McConkey,42,WR24
Zay Flowers,43,WR13
DeVonta Smith,44,WR15
Emeka Egbuka,45,WR20
Jaylen Waddle,46,WR18
Davante Adams,47,WR19
TreVeyon Henderson,48,RB23
Cameron Skattebo,49,RB19
Tyler Warren,50,TE4
Drake Maye,51,QB3
Jameson Williams,52,WR27
Quinshon Judkins,53,RB24
David Montgomery,54,RB21
Terry McLaurin,55,WR25
Joe Burrow,56,QB5
Mike Evans,57,WR26
D.J. Moore,58,WR29
Bhayshul Tuten,59,RB26
Jayden Daniels,60,QB4
Harold Fannin Jr.,61,TE7
Carnell Tate,62,WR32
Rome Odunze,63,WR28
D'Andre Swift,64,RB20
Jalen Hurts,65,QB6
Tucker Kraft,66,TE5
Christian Watson,67,WR23
RJ Harvey,68,RB34
Jordyn Tyson,69,WR35
Brian Thomas Jr.,70,WR41
Kyle Pitts,71,TE8
D.K. Metcalf,72,WR31
Jaylen Warren,73,RB25
Chuba Hubbard,74,RB30
Marvin Harrison Jr.,75,WR33
Sam LaPorta,76,TE6
Makai Lemon,77,WR48
Courtland Sutton,78,WR36
Michael Wilson,79,WR53
Jadarian Price,80,RB31
Jaxson Dart,81,QB13
Rhamondre Stevenson,82,RB27
Caleb Williams,83,QB10
Parker Washington,84,WR30
Alec Pierce,85,WR39
Justin Herbert,86,QB8
Tony Pollard,87,RB29
Jakobi Meyers,88,WR38
Rico Dowdle,89,RB28
Kyle Monangai,90,RB35
Dak Prescott,91,QB11
Trevor Lawrence,92,QB7
J.K. Dobbins,93,RB32
Chris Godwin,94,WR44
Oronde Gadsden II,95,TE23
Dalton Kincaid,96,TE13
George Kittle,97,TE9
Blake Corum,98,RB38
Patrick Mahomes,99,QB15
Jordan Addison,100,WR40
Quentin Johnston,101,WR42
Michael Pittman Jr.,102,WR34
Wan'Dale Robinson,103,WR52
Brock Purdy,104,QB9
Jake Ferguson,105,TE12
Hunter Henry,106,TE17
Kenneth Gainwell,107,RB36
Travis Kelce,108,TE10
Aaron Jones,109,RB42
Dallas Goedert,110,TE14
Mark Andrews,111,TE11
Jacory Croskey-Merritt,112,RB37
Matthew Stafford,113,QB18
Romeo Doubs,114,WR47
Los Angeles Rams,115,DEF10
Jayden Reed,116,WR37
Isaiah Likely,117,TE16
Kenyon Sadiq,118,TE18
Bo Nix,119,QB14
Houston Texans,120,DEF1
Jared Goff,121,QB16
Brian Robinson Jr.,122,RB53
Seattle Seahawks,123,DEF3
Jordan Love,124,QB17
Josh Downs,125,WR43
Zach Charbonnet,126,RB43
Stefon Diggs,127,WR46
Rachaad White,128,RB39
Brenton Strange,129,TE15
Philadelphia Eagles,130,DEF9
Jordan Mason,131,RB40
Jayden Higgins,132,WR49
Tyler Allgeier,133,RB51
Denver Broncos,134,DEF2
Khalil Shakir,135,WR55
Matthew Golden,136,WR54
Xavier Worthy,137,WR45
Juwan Johnson,138,TE19
Jalen Coker,139,WR58
Dalton Schultz,140,TE21
Malik Willis,141,QB21
Jonathon Brooks,142,RB33
Baker Mayfield,143,QB20
T.J. Hockenson,144,TE22
Woody Marks,145,RB44
Chris Rodriguez,146,RB47
Baltimore Ravens,147,DEF5
Kyler Murray,148,QB12
KC Concepcion,149,WR51
Tyler Shough,150,QB19
Jonah Coleman,151,RB54
Tyrone Tracy Jr.,152,RB48
Chigoziem Okonkwo,153,TE20
Jauan Jennings,154,WR65
Denzel Boston,155,WR60
Omar Cooper Jr.,156,WR59
New England Patriots,157,DEF8
Emmett Johnson,158,RB55
AJ Barner,159,TE25
Tyjae Spears,160,RB41
Rashid Shaheed,161,WR56
James Conner,162,RB58
Alvin Kamara,163,RB49
Terrance Ferguson,164,TE27
Minnesota Vikings,165,DEF7
Travis Hunter,166,WR76
Detroit Lions,167,DEF11
Cade Otton,168,TE24
C.J. Stroud,169,QB23
Jalen McMillan,170,WR57
Deebo Samuel,171,WR50
Keaton Mitchell,172,RB50
Sam Darnold,173,QB25
Cameron Ward,174,QB24
Dylan Sampson,175,RB45
Jalen Nailor,176,WR69
Isiah Pacheco,177,RB46
Antonio Williams,178,WR92
Fernando Mendoza,179,QB27
Brandon Aubrey,180,K1
Cameron Dicker,181,K2
David Njoku,182,TE29
Jerry Jeudy,183,WR66
Eli Stowers,184,TE30
Tyreek Hill,185,WR80
Braelon Allen,186,RB57
Jason Myers,187,K14
Nicholas Singleton,188,RB56
Jacksonville Jaguars,189,DEF14
Adonai Mitchell,190,WR61
Kayshon Boutte,191,WR74
Mike Washington Jr.,192,RB59
Zachariah Branch,193,WR82
Harrison Mevis,194,K9
Kimani Vidal,195,RB70
Pittsburgh Steelers,196,DEF6
Kaytron Allen,197,RB60
Trey Benson,198,RB61
Andres Borregales,199,K13
Troy Franklin,200,WR88
Tank Bigsby,201,RB63
Kansas City Chiefs,202,DEF18
Brandon Aiyuk,203,WR77
Jake Tonges,204,TE34
Ka'imi Fairbairn,205,K3
New York Giants,206,DEF13
Sean Tucker,207,RB61
Bryce Young,208,QB26
Tre Harris,209,WR71
Daniel Jones,210,QB22
Los Angeles Chargers,211,DEF12
Ja'Kobi Lane,212,WR84
Isaac TeSlaa,213,WR85
Elic Ayomanor,214,WR93
Colby Parkinson,215,TE28
Gunnar Helm,216,TE26
Jacoby Brissett,217,QB28
Cam Little,218,K7
De'Zhaun Stribling,219,WR64
Emanuel Wilson,220,RB66
Green Bay Packers,221,DEF4
Eddy Pineiro,222,K6
Will Reichard,223,K17
Joe Mixon,224,RB76
Dallas Cowboys,225,DEF26
Nathaniel Dell,226,WR86
Tre Tucker,227,WR62
Ray Davis,228,RB72
Chicago Bears,229,DEF15
Devin Neal,230,RB74
Najee Harris,231,RB65
