Rank,Player,Trend,Avg Pos,Hi/Lo,Pct
1,Jahmyr Gibbs RB  DET,—,1.45,1/3,100
2,Bijan Robinson RB  ATL,—,1.92,1/3,100
3,Ja'Marr Chase WR  CIN,—,4.06,2/7,100
4,Puka Nacua WR  LAR,—,4.58,3/8,100
5,Jonathan Taylor RB  IND,—,5.6,3/9,100
6,Jaxon Smith-Njigba WR  SEA,—,6.42,3/10,100
7,Christian McCaffrey RB  SF,—,6.62,3/11,100
8,Amon-Ra St. Brown WR  DET,—,8.79,6/15,100
9,De'Von Achane RB  MIA,—,11.4,7/17,100
10,James Cook RB  BUF,—,11.92,8/17,100
11,Ashton Jeanty RB  LV,—,12.7,7/19,100
12,Chase Brown RB  CIN,—,14.25,8/23,100
13,Saquon Barkley RB  PHI,1,14.58,9/20,100
14,CeeDee Lamb WR  DAL,-1,14.83,8/27,100
15,Derrick Henry RB  BAL,—,15.68,6/25,100
16,Justin Jefferson WR  MIN,—,15.72,9/32,100
17,Drake London WR  ATL,—,17.53,11/29,100
18,Omarion Hampton RB  LAC,—,17.57,12/28,100
19,Josh Allen QB  BUF,—,20.96,2/39,98.4
20,Rashee Rice WR  KC,2,22.66,14/35,100
21,George Pickens WR  DAL,-1,22.83,17/30,100
22,Kenneth Walker III RB  KC,-1,22.92,15/37,100
23,A.J. Brown WR  NE,—,23.49,15/33,100
24,Josh Jacobs RB  GB,—,25,19/37,100
25,Nico Collins WR  HOU,—,26.34,19/38,100
26,Kyren Williams RB  LAR,1,27.04,18/39,100
27,Trey McBride TE  ARI,1,27.17,15/42,100
28,Brock Bowers TE  LV,-2,27.57,17/40,100
29,Chris Olave WR  NO,—,29.28,18/43,100
30,Jeremiyah Love RB  ARI,—,31.15,20/45,100
31,Breece Hall RB  NYJ,—,32.17,21/46,100
32,Cam Skattebo RB  NYG,—,33.51,21/50,100
33,Malik Nabers WR  NYG,—,34.57,23/51,100
34,Javonte Williams RB  DAL,—,35.15,26/47,100
35,Emeka Egbuka WR  TB,—,37.3,27/49,100
36,DeVonta Smith WR  PHI,—,37.42,29/51,100
37,Zay Flowers WR  BAL,—,38.53,28/53,100
38,Tee Higgins WR  CIN,—,38.89,31/48,100
39,Lamar Jackson QB  BAL,—,40.89,5/60,98.4
40,Travis Etienne RB  NO,—,42.51,29/58,100
41,Bucky Irving RB  TB,—,42.51,29/57,100
42,D'Andre Swift RB  CHI,—,42.75,28/60,100
43,Tetairoa McMillan WR  CAR,2,46.19,35/64,100
44,Colston Loveland TE  CHI,-1,46.87,27/60,100
45,Ladd McConkey WR  LAC,4,47.13,34/67,100
46,Garrett Wilson WR  NYJ,—,47.26,36/68,100
47,Quinshon Judkins RB  CLE,-3,48.08,36/67,100
